record_type,time,type,peer_address,prefix,next-hop,communities,as-path,filename,title
rib,1530345602.0,R,206.126.236.104,101.124.0.0/18,206.126.236.104,"{'6830:17000', '6830:33122', '6830:17443'}",6830 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.19,101.124.0.0/18,206.126.236.19,"{'3257:50002', '3257:30430', '3257:51100', '3257:51102', '3257:8110'}",3257 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.37,101.124.0.0/18,206.126.236.37,set(),6939 4134 4134 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.24,101.124.64.0/18,206.126.236.24,"{'11666:1000', '3257:50002', '3257:30434', '3257:51101', '11666:1005', '3257:51100', '3257:8147'}",11666 3257 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.238.56,101.124.64.0/18,206.126.238.56,"{'37468:1000', '37468:14101', '37468:1400'}",37468 174 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.88,101.124.64.0/18,206.126.236.88,"{'3491:4134', '3491:2009', '3491:2000'}",3491 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.120,101.124.64.0/18,206.126.236.120,set(),41095 3356 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.47,101.124.64.0/18,206.126.236.47,"{'19151:1000', '19151:61003', '19151:65050', '174:21001', '174:22013'}",19151 174 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.172,101.124.64.0/18,206.126.236.172,set(),11039 4901 11164 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.137,101.124.64.0/18,206.126.236.137,set(),293 6939 4134 4134 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.76,101.124.64.0/18,206.126.236.76,set(),5769 6453 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.117,101.124.64.0/18,206.126.236.117,"{'6830:17000', '6830:33122', '6830:17443'}",6830 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.12,101.124.64.0/18,206.126.236.12,"{'2914:3000', '2914:2000', '2914:420', '2914:1005'}",2914 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.25,101.124.64.0/18,206.126.236.25,set(),6079 1299 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.104,101.124.64.0/18,206.126.236.104,"{'6830:17000', '6830:33122', '6830:17443'}",6830 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.19,101.124.64.0/18,206.126.236.19,"{'3257:50002', '3257:30430', '3257:51100', '3257:51102', '3257:8110'}",3257 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.37,101.124.64.0/18,206.126.236.37,set(),6939 4134 4134 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.24,101.124.192.0/18,206.126.236.24,"{'11666:1000', '3257:50002', '3257:30434', '3257:51101', '11666:1005', '3257:51100', '3257:8147'}",11666 3257 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.238.56,101.124.192.0/18,206.126.238.56,"{'37468:1000', '37468:14101', '37468:1400'}",37468 174 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.88,101.124.192.0/18,206.126.236.88,"{'3491:4134', '3491:2009', '3491:2000'}",3491 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.120,101.124.192.0/18,206.126.236.120,set(),41095 3356 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.47,101.124.192.0/18,206.126.236.47,"{'65504:4134', '19151:1000', '19151:65050', '19151:61006', '2914:2000', '2914:3000', '2914:1005', '19151:1500', '2914:420'}",19151 2914 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.172,101.124.192.0/18,206.126.236.172,set(),11039 4901 11164 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.137,101.124.192.0/18,206.126.236.137,set(),293 6939 4837 4808,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.76,101.124.192.0/18,206.126.236.76,set(),5769 6453 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.117,101.124.192.0/18,206.126.236.117,"{'6830:17000', '6830:35306', '6830:23001', '6830:17477'}",6830 4837 4808,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.12,101.124.192.0/18,206.126.236.12,"{'2914:3000', '2914:2000', '2914:420', '2914:1005'}",2914 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.25,101.124.192.0/18,206.126.236.25,set(),6079 1299 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.104,101.124.192.0/18,206.126.236.104,"{'6830:17000', '6830:35306', '6830:23001', '6830:17477'}",6830 4837 4808,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.19,101.124.192.0/18,206.126.236.19,"{'3257:50002', '3257:30430', '3257:51100', '3257:51102', '3257:8110'}",3257 4134 23724,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530345602.0,R,206.126.236.37,101.124.192.0/18,206.126.236.37,set(),6939 4837 4808,bitcanal_hijack_1_2018-06-30 08:00:00_2018-06-30 09:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.201,101.124.0.0/16,27.111.228.201,"{'65504:4134', '14061:4000', '2914:3400', '14061:2300', '14061:2301', '2914:1408', '2914:2401', '2914:420', '14061:4001'}",14061 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.43,101.124.0.0/16,27.111.228.43,"{'3491:4000', '3491:4134', '3491:4006'}",3491 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.229.79,101.124.0.0/16,27.111.229.79,set(),17639 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.159,101.124.0.0/16,27.111.228.159,"{'2914:3400', '24482:1', '24482:11010', '24482:20105', '2914:1408', '2914:2401', '2914:420', '24482:64602', '24482:11013', '24482:20100'}",24482 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.6,101.124.0.0/16,27.111.228.6,{'2914:2000'},18106 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.201,101.124.0.0/18,27.111.228.201,"{'65504:4134', '14061:4000', '2914:3400', '14061:2300', '14061:2301', '2914:1408', '2914:2401', '2914:420', '14061:4001'}",14061 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.43,101.124.0.0/18,27.111.228.43,"{'3491:4000', '3491:4134', '3491:4006'}",3491 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.229.79,101.124.0.0/18,27.111.229.79,set(),17639 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.159,101.124.0.0/18,27.111.228.159,"{'2914:3400', '24482:1', '24482:11010', '24482:20105', '2914:1408', '2914:2401', '2914:420', '24482:64602', '24482:11013', '24482:20100'}",24482 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.6,101.124.0.0/18,27.111.228.6,{'2914:2000'},18106 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.201,101.124.64.0/18,27.111.228.201,"{'65504:4134', '14061:4000', '2914:3400', '14061:2300', '14061:2301', '2914:1408', '2914:2401', '2914:420', '14061:4001'}",14061 2914 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.43,101.124.64.0/18,27.111.228.43,"{'3491:4000', '3491:4007', '3491:4134'}",3491 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.229.79,101.124.64.0/18,27.111.229.79,set(),17639 2914 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.159,101.124.64.0/18,27.111.228.159,"{'2914:3400', '24482:1', '24482:11010', '24482:20105', '2914:1408', '2914:2401', '2914:420', '24482:64602', '24482:11013', '24482:20100'}",24482 2914 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.6,101.124.64.0/18,27.111.228.6,{'2914:2000'},18106 2914 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.201,101.124.192.0/18,27.111.228.201,"{'14061:4000', '2914:3400', '14061:2300', '14061:2301', '2914:2401', '2914:420', '65504:4837', '2914:1403', '14061:4001'}",14061 2914 4837 4808,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.43,101.124.192.0/18,27.111.228.43,"{'3491:4000', '3491:4134', '3491:4006'}",3491 4134 23724,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.229.79,101.124.192.0/18,27.111.229.79,set(),17639 2914 4134 23724,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.159,101.124.192.0/18,27.111.228.159,"{'24482:20107', '2914:3400', '24482:1', '24482:11010', '2914:2401', '2914:420', '24482:64602', '24482:11013', '2914:1403', '24482:20100'}",24482 2914 4837 4808,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352801.0,R,27.111.228.6,101.124.192.0/18,27.111.228.6,{'2914:2000'},18106 2914 4837 4808,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.24,101.124.0.0/16,206.126.236.24,"{'11666:1000', '3257:50002', '3257:30434', '3257:51101', '11666:1005', '3257:51100', '3257:8147'}",11666 3257 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.238.56,101.124.0.0/16,206.126.238.56,"{'37468:1000', '37468:14101', '37468:1400'}",37468 174 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.88,101.124.0.0/16,206.126.236.88,"{'3491:4134', '3491:2009', '3491:2000'}",3491 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.120,101.124.0.0/16,206.126.236.120,set(),41095 3356 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.47,101.124.0.0/16,206.126.236.47,"{'65504:4134', '19151:1000', '19151:65050', '19151:61006', '2914:2000', '2914:3000', '2914:1005', '19151:1500', '2914:420'}",19151 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.172,101.124.0.0/16,206.126.236.172,set(),11039 4901 11164 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.137,101.124.0.0/16,206.126.236.137,set(),293 6939 4134 4134 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.76,101.124.0.0/16,206.126.236.76,set(),5769 6453 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.117,101.124.0.0/16,206.126.236.117,"{'6830:17000', '6830:33122', '6830:17443'}",6830 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.12,101.124.0.0/16,206.126.236.12,"{'2914:3000', '2914:2000', '2914:420', '2914:1005'}",2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.25,101.124.0.0/16,206.126.236.25,set(),6079 1299 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.104,101.124.0.0/16,206.126.236.104,"{'6830:17000', '6830:33122', '6830:17443'}",6830 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.19,101.124.0.0/16,206.126.236.19,"{'3257:50002', '3257:30430', '3257:51100', '3257:51102', '3257:8110'}",3257 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.37,101.124.0.0/16,206.126.236.37,set(),6939 4134 4134 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.24,101.124.0.0/18,206.126.236.24,"{'11666:1000', '3257:50002', '3257:30434', '3257:51101', '11666:1005', '3257:51100', '3257:8147'}",11666 3257 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.238.56,101.124.0.0/18,206.126.238.56,"{'37468:1000', '37468:14101', '37468:1400'}",37468 174 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.88,101.124.0.0/18,206.126.236.88,"{'3491:4134', '3491:2009', '3491:2000'}",3491 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.120,101.124.0.0/18,206.126.236.120,set(),41095 3356 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.47,101.124.0.0/18,206.126.236.47,"{'65504:4134', '19151:1000', '19151:65050', '19151:61006', '2914:2000', '2914:3000', '2914:1005', '19151:1500', '2914:420'}",19151 2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.172,101.124.0.0/18,206.126.236.172,set(),11039 4901 11164 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.137,101.124.0.0/18,206.126.236.137,set(),293 6939 4134 4134 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.76,101.124.0.0/18,206.126.236.76,set(),5769 6453 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.117,101.124.0.0/18,206.126.236.117,"{'6830:17000', '6830:33122', '6830:17443'}",6830 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.12,101.124.0.0/18,206.126.236.12,"{'2914:3000', '2914:2000', '2914:420', '2914:1005'}",2914 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.25,101.124.0.0/18,206.126.236.25,set(),6079 1299 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.104,101.124.0.0/18,206.126.236.104,"{'6830:17000', '6830:33122', '6830:17443'}",6830 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.19,101.124.0.0/18,206.126.236.19,"{'3257:50002', '3257:30430', '3257:51100', '3257:51102', '3257:8110'}",3257 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.37,101.124.0.0/18,206.126.236.37,set(),6939 4134 4134 4134 23724 131486 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.24,101.124.64.0/18,206.126.236.24,"{'11666:1000', '3257:50002', '3257:30434', '3257:51101', '11666:1005', '3257:51100', '3257:8147'}",11666 3257 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.238.56,101.124.64.0/18,206.126.238.56,"{'37468:1000', '37468:14101', '37468:1400'}",37468 174 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.88,101.124.64.0/18,206.126.236.88,"{'3491:4134', '3491:2009', '3491:2000'}",3491 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.120,101.124.64.0/18,206.126.236.120,set(),41095 3356 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.47,101.124.64.0/18,206.126.236.47,"{'19151:1000', '19151:61003', '19151:65050', '174:21001', '174:22013'}",19151 174 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.172,101.124.64.0/18,206.126.236.172,set(),11039 4901 11164 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.137,101.124.64.0/18,206.126.236.137,set(),293 6939 4134 4134 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.76,101.124.64.0/18,206.126.236.76,set(),5769 6453 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.117,101.124.64.0/18,206.126.236.117,"{'6830:17000', '6830:33122', '6830:17443'}",6830 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.12,101.124.64.0/18,206.126.236.12,"{'2914:3000', '2914:2000', '2914:420', '2914:1005'}",2914 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.25,101.124.64.0/18,206.126.236.25,set(),6079 1299 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.104,101.124.64.0/18,206.126.236.104,"{'6830:17000', '6830:33122', '6830:17443'}",6830 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.19,101.124.64.0/18,206.126.236.19,"{'3257:50002', '3257:30430', '3257:51100', '3257:51102', '3257:8110'}",3257 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.37,101.124.64.0/18,206.126.236.37,set(),6939 4134 4134 4134 4812 4811 131486,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.24,101.124.192.0/18,206.126.236.24,"{'11666:1000', '3257:50002', '3257:30434', '3257:51101', '11666:1005', '3257:51100', '3257:8147'}",11666 3257 4134 23724,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.238.56,101.124.192.0/18,206.126.238.56,"{'37468:1000', '37468:14101', '37468:1400'}",37468 174 4134 23724,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.88,101.124.192.0/18,206.126.236.88,"{'3491:4134', '3491:2009', '3491:2000'}",3491 4134 23724,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.120,101.124.192.0/18,206.126.236.120,set(),41095 3356 4134 23724,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
rib,1530352802.0,R,206.126.236.47,101.124.192.0/18,206.126.236.47,"{'65504:4134', '19151:1000', '19151:65050', '19151:61006', '2914:2000', '2914:3000', '2914:1005', '19151:1500', '2914:420'}",19151 2914 4134 23724,bitcanal_hijack_1_2018-06-30 10:00:00_2018-06-30 11:00:00.csv,bitcanal_hijack_1
